log10_x_anchor,x,pi_x,K,abs_err
4.0,14930,1748,5,1.614077
4.0,14930,1748,10,2.433327
4.0,14930,1748,20,2.315275
4.0,14930,1748,50,1.048167
4.0,14930,1748,100,0.060472
4.0,14930,1748,200,0.072865
4.0,14930,1748,300,0.148760
4.0,14930,1748,500,0.386420
4.0,14930,1748,700,0.099390
4.0,14930,1748,1000,0.363768
4.0,14930,1748,1500,0.721844
4.0,14930,1748,2000,0.755743
4.0,14930,1748,3000,0.495673
4.0,14930,1748,4000,0.368346
4.0,14930,1748,5000,0.329700
4.0,14930,1748,6000,0.350031
4.0,14930,1748,7000,0.261471
4.0,14930,1748,8000,0.263436
4.5,31640,3402,1,2.804859
4.5,31640,3402,2,4.333699
4.5,31640,3402,5,0.976298
4.5,31640,3402,10,0.399467
4.5,31640,3402,20,0.555776
4.5,31640,3402,50,0.308810
4.5,31640,3402,100,1.289522
4.5,31640,3402,200,1.147289
4.5,31640,3402,300,1.127175
4.5,31640,3402,500,1.218072
4.5,31640,3402,700,1.314351
4.5,31640,3402,1000,0.701112
4.5,31640,3402,1500,0.806936
4.5,31640,3402,2000,0.611240
4.5,31640,3402,3000,0.298855
4.5,31640,3402,4000,0.315229
4.5,31640,3402,5000,0.195752
4.5,31640,3402,6000,0.129514
4.5,31640,3402,7000,0.397606
4.5,31640,3402,8000,0.272463
4.5,31852,3422,1,3.283543
4.5,31852,3422,2,4.902468
4.5,31852,3422,5,1.602240
4.5,31852,3422,10,0.205680
4.5,31852,3422,20,0.014567
4.5,31852,3422,50,0.339986
4.5,31852,3422,100,1.287779
4.5,31852,3422,200,0.650334
4.5,31852,3422,300,0.521697
4.5,31852,3422,500,0.319740
4.5,31852,3422,700,0.396961
4.5,31852,3422,1000,0.002582
4.5,31852,3422,1500,0.462385
4.5,31852,3422,2000,0.515694
4.5,31852,3422,3000,0.446418
4.5,31852,3422,4000,0.622551
4.5,31852,3422,5000,0.439217
4.5,31852,3422,6000,0.574502
4.5,31852,3422,7000,0.470756
4.5,31852,3422,8000,0.396451
4.5,32642,3503,1,1.358590
4.5,32642,3503,2,0.322011
4.5,32642,3503,5,1.782365
4.5,32642,3503,10,2.225579
4.5,32642,3503,20,2.598083
4.5,32642,3503,50,2.808043
4.5,32642,3503,100,1.185827
4.5,32642,3503,200,1.152800
4.5,32642,3503,300,0.628917
4.5,32642,3503,500,0.675289
4.5,32642,3503,700,0.155813
4.5,32642,3503,1000,0.034829
4.5,32642,3503,1500,0.174087
4.5,32642,3503,2000,0.358155
4.5,32642,3503,3000,0.441307
4.5,32642,3503,4000,0.360673
4.5,32642,3503,5000,0.211192
4.5,32642,3503,6000,0.076659
4.5,32642,3503,7000,0.093994
4.5,32642,3503,8000,0.121282
4.5,33150,3552,1,1.242957
4.5,33150,3552,2,0.252716
4.5,33150,3552,5,0.525944
4.5,33150,3552,10,0.029405
4.5,33150,3552,20,0.002478
4.5,33150,3552,50,0.734779
4.5,33150,3552,100,0.960804
4.5,33150,3552,200,0.343391
4.5,33150,3552,300,0.499018
4.5,33150,3552,500,0.976177
4.5,33150,3552,700,0.868229
4.5,33150,3552,1000,0.687267
4.5,33150,3552,1500,0.132478
4.5,33150,3552,2000,0.134822
4.5,33150,3552,3000,0.038075
4.5,33150,3552,4000,0.103427
4.5,33150,3552,5000,0.110449
4.5,33150,3552,6000,0.072275
4.5,33150,3552,7000,0.025168
4.5,33150,3552,8000,0.034521
4.5,34972,3731,1,4.356005
4.5,34972,3731,2,4.484422
4.5,34972,3731,5,1.424953
4.5,34972,3731,10,1.411391
4.5,34972,3731,20,1.561578
4.5,34972,3731,50,0.594274
4.5,34972,3731,100,0.036572
4.5,34972,3731,200,0.769048
4.5,34972,3731,300,0.978101
4.5,34972,3731,500,1.203419
4.5,34972,3731,700,1.123534
4.5,34972,3731,1000,0.665856
4.5,34972,3731,1500,0.368335
4.5,34972,3731,2000,0.138227
4.5,34972,3731,3000,0.123371
4.5,34972,3731,4000,0.030048
4.5,34972,3731,5000,0.022607
4.5,34972,3731,6000,0.006735
4.5,34972,3731,7000,0.139161
4.5,34972,3731,8000,0.024122
4.5,35889,3812,1,2.781308
4.5,35889,3812,2,1.737911
4.5,35889,3812,5,4.457645
4.5,35889,3812,10,3.004409
4.5,35889,3812,20,2.111923
4.5,35889,3812,50,1.157369
4.5,35889,3812,100,1.491489
4.5,35889,3812,200,0.023925
4.5,35889,3812,300,0.761782
4.5,35889,3812,500,0.351832
4.5,35889,3812,700,0.295145
4.5,35889,3812,1000,0.088641
4.5,35889,3812,1500,0.594340
4.5,35889,3812,2000,0.320577
4.5,35889,3812,3000,0.382569
4.5,35889,3812,4000,0.054193
4.5,35889,3812,5000,0.134960
4.5,35889,3812,6000,0.197448
4.5,35889,3812,7000,0.052154
4.5,35889,3812,8000,0.156207
4.5,36802,3903,1,0.860712
4.5,36802,3903,2,2.540834
4.5,36802,3903,5,1.484957
4.5,36802,3903,10,2.353018
4.5,36802,3903,20,2.148815
4.5,36802,3903,50,1.964786
4.5,36802,3903,100,1.102058
4.5,36802,3903,200,0.538328
4.5,36802,3903,300,1.384283
4.5,36802,3903,500,1.644685
4.5,36802,3903,700,1.235205
4.5,36802,3903,1000,1.083081
4.5,36802,3903,1500,0.674811
4.5,36802,3903,2000,0.489781
4.5,36802,3903,3000,0.085241
4.5,36802,3903,4000,0.037241
4.5,36802,3903,5000,0.087923
4.5,36802,3903,6000,0.206346
4.5,36802,3903,7000,0.150523
4.5,36802,3903,8000,0.124578
4.5,38156,4027,1,3.840213
4.5,38156,4027,2,2.007587
4.5,38156,4027,5,0.286355
4.5,38156,4027,10,2.223206
4.5,38156,4027,20,3.377298
4.5,38156,4027,50,1.493835
4.5,38156,4027,100,1.693655
4.5,38156,4027,200,1.412513
4.5,38156,4027,300,1.234981
4.5,38156,4027,500,0.041543
4.5,38156,4027,700,0.238098
4.5,38156,4027,1000,0.224142
4.5,38156,4027,1500,0.463079
4.5,38156,4027,2000,0.626774
4.5,38156,4027,3000,0.617392
4.5,38156,4027,4000,0.884653
4.5,38156,4027,5000,0.631289
4.5,38156,4027,6000,0.686078
4.5,38156,4027,7000,0.592950
4.5,38156,4027,8000,0.454453
4.5,38875,4096,1,2.749154
4.5,38875,4096,2,1.226246
4.5,38875,4096,5,1.255930
4.5,38875,4096,10,0.710820
4.5,38875,4096,20,0.671027
4.5,38875,4096,50,1.654280
4.5,38875,4096,100,1.306594
4.5,38875,4096,200,1.649711
4.5,38875,4096,300,0.585977
4.5,38875,4096,500,0.512829
4.5,38875,4096,700,0.775931
4.5,38875,4096,1000,1.170296
4.5,38875,4096,1500,0.790931
4.5,38875,4096,2000,0.997149
4.5,38875,4096,3000,0.951368
